TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
PURA	1	0	0	0	1	0	1	0	0
TTF1	0	0	1	0	0	0	1	0	0
XPA	0	0	1	0	1	1	1	0	1
ZNF830	0	0	1	0	0	0	1	0	0
CUX1	0	0	1	0	0	0	1	0	0
PCGF6	0	0	0	0	0	0	1	0	0
POU2F1	1	0	1	1	1	0	1	0	1
POU2F2	0	0	1	1	1	0	1	0	1
PRDM1	0	0	0	0	0	0	1	0	0
SNAPC2	0	0	1	1	1	0	1	0	1
SNAPC4	0	0	1	1	1	0	1	0	1
SNAPC5	0	0	1	1	1	0	1	0	1
SP1	1	1	1	1	1	0	1	0	1
THRA	0	1	0	0	1	0	1	0	0
ZC3H8	0	0	1	1	1	0	1	0	1
ZNF143	0	0	1	1	1	0	1	0	1
CEBPB	1	1	1	0	1	1	0	1	0
EGR1	1	1	0	0	1	0	0	1	0
HIF1A	1	1	0	0	0	0	0	0	0
SMAD5	0	1	0	0	0	0	1	0	0
SREBF1	1	1	1	0	1	0	0	0	0
SREBF2	0	1	0	0	1	0	0	0	0
TBX3	0	1	0	0	0	0	0	0	0
ZNF131	0	1	1	0	1	0	0	0	0
CDX1	1	0	0	0	1	0	0	0	1
CDX2	1	0	0	0	0	0	0	0	1
CDX4	1	0	0	0	0	0	0	0	1
CEBPD	0	1	0	1	1	0	0	0	0
CEBPE	1	1	0	0	0	0	0	0	0
CEBPG	1	0	0	1	0	0	0	0	0
CEBPZ	0	0	1	0	1	0	0	0	0
CENPT	0	0	0	0	1	0	0	0	0
CHAMP1	0	1	0	0	0	1	0	0	0
CREB1	1	1	1	1	1	1	0	1	0
CREB3	0	0	0	0	1	0	0	0	0
CREBL2	0	0	0	0	1	0	0	0	0
CREBZF	0	0	0	0	1	0	0	0	0
CREM	0	0	0	0	1	0	0	0	0
CTCF	1	1	1	0	1	1	0	0	0
CTCFL	0	0	0	0	1	0	0	0	0
CXXC1	1	1	0	0	1	0	0	0	0
DBP	0	0	0	0	0	0	1	0	0
DEAF1	0	0	0	0	1	0	0	0	0
DLX2	0	1	0	0	0	0	0	0	0
DLX3	0	1	0	0	0	0	0	0	0
DLX5	0	1	0	0	0	0	0	0	0
DMTF1	0	0	0	0	1	0	0	0	0
DNTTIP1	0	0	1	0	0	0	0	0	0
DPF1	1	0	0	0	0	0	0	0	0
ESRRA	1	1	0	0	0	0	0	1	0
ESRRG	1	1	0	0	0	0	0	0	0
HMBOX1	1	1	0	0	0	0	0	0	0
LHX1	1	0	0	0	0	0	0	0	0
LHX5	1	0	0	0	0	0	0	0	0
NFE2	1	1	1	0	1	0	1	0	1
NHLH1	1	1	0	0	0	0	0	0	0
REL	1	1	1	0	1	0	0	0	0
ZFP42	1	0	1	0	1	0	0	0	0
ZNF212	1	0	0	0	0	0	0	0	0
DR1	1	0	0	0	1	0	0	0	0
DRAP1	0	1	0	0	1	0	0	1	0
DRGX	0	0	0	0	0	0	0	0	1
DUX4	1	0	1	0	0	0	0	0	0
E2F6	1	0	0	0	1	1	0	0	0
E4F1	1	0	0	0	1	0	0	0	0
EBF2	1	0	0	0	1	0	0	0	0
EBF3	0	0	0	0	1	0	0	0	0
EEA1	0	0	0	0	1	0	0	0	0
EGR2	1	1	1	0	0	0	0	0	0
ELF3	0	1	0	0	1	0	0	0	0
ELF5	0	0	1	0	0	0	0	0	0
EMX1	0	0	1	0	0	0	0	0	0
EMX2	0	1	0	0	0	0	0	0	0
HSF2	0	0	0	0	1	0	1	0	0
IRF1	1	1	1	1	1	1	1	0	0
ZSCAN1	0	1	1	0	1	0	1	0	1
ETS1	1	1	0	0	1	1	0	0	0
ETS2	1	0	0	0	0	0	0	0	0
ETV4	0	0	0	0	1	0	0	0	0
ETV6	0	1	0	0	0	1	0	0	0
ETV7	0	0	0	0	1	0	0	0	0
EVX1	0	0	0	0	1	0	0	0	0
FBXL19	0	1	0	0	1	0	0	0	0
FIZ1	0	0	0	0	1	0	0	0	0
FOS	1	1	1	1	1	0	1	0	1
FOSB	0	0	0	0	1	0	0	0	0
FOSL2	0	1	0	0	1	0	0	0	0
FOXA1	1	0	1	0	1	0	0	0	0
FOXA2	1	0	0	0	1	0	0	0	0
FOXA3	1	0	0	0	0	0	0	0	0
FOXD2	0	0	0	0	1	0	0	0	0
FOXE1	1	0	0	0	0	0	0	0	0
FOXF2	0	0	0	0	1	0	0	1	0
FOXJ2	0	0	0	0	1	0	0	0	0
FOXJ3	0	1	0	0	0	0	0	0	0
FOXK2	1	0	0	0	1	1	0	1	1
FOXL1	0	0	0	0	1	0	0	0	0
FOXO1	1	0	0	0	0	1	0	0	0
FOXP1	0	0	0	0	1	0	1	0	0
FOXP4	0	0	1	0	1	0	0	0	0
FOXS1	0	0	0	0	1	0	0	0	0
GABPA	0	1	0	0	1	0	0	0	0
GATA2	0	1	0	0	1	0	0	0	0
GATA3	1	1	0	0	1	0	0	0	0
GATA5	0	1	0	0	0	0	0	0	0
GATA6	0	1	0	0	1	0	0	0	0
GFI1B	0	0	0	0	1	0	0	0	0
GLI1	1	0	0	0	1	0	0	0	0
GPBP1	0	0	1	1	1	0	0	1	0
GPBP1L1	0	0	0	0	1	0	0	0	0
GRHL1	0	0	0	0	1	0	0	0	0
MIXL1	0	1	0	0	0	0	0	0	1
OLIG1	0	1	0	0	0	0	0	0	1
ONECUT1	1	0	1	0	0	0	0	0	1
ZBTB43	0	0	0	0	0	0	0	0	1
HOXB7	0	0	0	0	1	0	0	0	1
KLF5	0	1	0	1	1	1	0	0	1
MTF2	0	0	0	0	1	0	0	0	1
PITX1	1	0	0	0	1	0	0	0	1
PITX2	0	0	0	0	1	0	0	0	1
TLX3	1	1	1	0	0	0	1	0	1
MSX2	0	0	0	1	1	0	0	0	0
